vedadc_n,vantig_n,vnline_n,vgamma_c,veaseg_c,vctcpl_n,vccdeu_n,vccdeu_n,ttkbco_n,vtarge_c
91,124,1,PREMIUM PLUS,n,13,0,0,0,0
59,,3,PREMIUM PLUS,n,23,3,3,4697800,0
53,,3,,n,28,11,11,0,0
,,1,PREMIUM PLUS,n,70,21,21,468309,0
56,,1,PREMIUM PLUS,n,36,8,8,2412231,0
,2,2,PREMIUM PLUS,n,14,0,0,3171426,0
46,145,2,PREMIUM PLUS,n,29,2,2,944700,0
77,,1,PREMIUM PLUS,n,69,26,26,0,0
64,,1,,n,10,2,2,0,0
60,,1,PREMIUM PLUS,n,6,0,0,0,0
47,,1,PREMIUM,n,30,9,9,0,0
53,86,1,PREMIUM PLUS,n,45,18,18,0,0
42,,2,PREMIUM,n,76,32,32,0,0
,9,1,PREMIUM PLUS,n,25,4,4,43311,0
64,,3,PREMIUM,n,30,7,7,1055559,0
59,,1,,n,12,1,1,0,0
51,,1,PREMIUM PLUS,n,33,5,5,0,0
60,,3,PREMIUM PLUS,n,14,2,2,991714,0
